amount,txn_velocity_1min,geo_distance_km,is_new_device,hour_of_day,merchant_risk_score,label
534.1,0,9.265588608885814,0,23,0.17020511948231962,0
441.74,1,0.8218197288145994,0,12,0.46439764621710045,0
977.47,0,36.45877826042164,0,9,0.30489619554009334,0
773.11,0,20.23758922340457,0,11,0.08884936267432944,0
634.76,0,16.383892728116145,0,10,0.37652726209665577,0
247.15,0,85.22968636632237,0,8,0.15152511817642147,0
218.08,1,93.89462010803855,0,19,0.06259215613121309,0
439.83,0,56.942673187341896,0,8,0.3866506172694949,0
7416.23,4,3.8144732209409256,0,5,0.3456054577064867,1
566.94,0,23.31938451679082,0,17,0.2814149884519306,0
205.64,2,42.67551494150726,0,18,0.0632299775250141,0
991.33,0,16.50982299953065,0,13,0.1935530138457498,0
2528.68,0,23.765220573733746,0,18,0.24668657236207608,0
560.02,0,25.228691358145444,0,3,0.48046900757285005,0
1133.79,1,5.218129705919743,0,16,0.3941792846877246,0
417.06,0,16.771178665865627,0,10,0.27496365747441537,0
4040.48,0,84.83974945769212,0,11,0.18126280627236693,0
162.65,0,35.94082412375525,1,9,0.25005355198537277,0
693.6,0,93.82657540144172,1,22,0.08522316727128086,0
293.47,0,69.02186001850838,0,9,0.03767829278214043,0
1894.96,1,56.12432400698851,0,15,0.04310979247768205,0
172.78,0,87.01412694647456,0,14,0.1760123285582536,0
282.56,1,48.87643593258506,0,13,0.21780863726304203,0
3583.06,1,18.995740964197456,0,8,0.44953838901884086,0
2636.84,1,48.979130486394226,0,14,0.09394932703940444,0
2035.59,1,51.83575505150211,1,11,0.7526606157412197,0
493.25,0,6.914191036688546,0,19,0.0522583483020291,0
8128.83,0,38.08178399489401,0,11,0.21103768746018922,0
5168.8,0,10.500776310747565,0,15,0.15040286187949106,0
432.19,1,8.679462385372467,0,13,0.299896726371266,0
2276.11,0,65.31623652549546,0,11,0.3211244254416442,0
757.75,1,20.877593984047785,0,9,0.2747354267814763,0
481.37,0,0.3364800217958219,0,17,0.12472133764159393,0
4579.16,0,22.41875925362615,0,12,0.20763578159596144,0
1019.81,1,40.29419824066246,1,12,0.07625426459160901,0
1349.91,0,78.73727672666502,0,10,0.1513657201117883,0
3411.35,2,70.63923046780607,0,10,0.049661184712956705,0
6453.87,0,21.554073267700943,0,19,0.5919969754621943,0
694.81,1,43.00109019240196,0,16,0.16833593866134905,0
724.0,1,66.94120470689708,0,23,0.38678662332715,0
829.09,0,56.959955764572335,1,8,0.12284362648047792,0
750.54,2,62.11423485215482,0,9,0.1583435771233877,0
768.41,0,1.6360128250418065,1,21,0.3921302866114098,0
336.62,0,13.419227421521143,0,6,0.25325287088223974,0
603.17,0,63.39440902321008,0,16,0.10257968627930243,0
3748.95,3,137.11799681324908,0,0,0.7318951153172218,1
283.56,0,9.829790634838238,0,23,0.29880097636435565,0
933.26,0,22.869059429115637,0,0,0.3336063685271147,0
465.66,0,21.543775355122335,0,16,0.12368189572819965,0
1740.6,1,97.24759390791942,0,14,0.04356483712676194,0
254.68,1,14.668911201619075,0,11,0.20364558044083322,0
2151.46,1,20.683062375213638,0,3,0.2671489686934676,0
177.99,2,73.35672063451881,0,14,0.2812019249014843,0
924.85,0,29.62668023132496,0,13,0.042655054652654165,0
1264.87,1,7.114425761036218,0,10,0.07031938415329328,0
2328.7,0,45.39878131819297,0,12,0.3259262264333445,0
746.65,0,37.05371047868951,0,2,0.2766573443978464,0
169.47,0,79.70572144195157,1,20,0.2516891471966269,0
443.95,1,21.48598186422153,0,12,0.17319369213685473,0
2124.33,3,20.00528959989638,0,15,0.42243092874448085,0
1564.31,1,12.83106058705107,0,5,0.09006486839585395,0
2315.32,0,3.3400547569320373,0,13,0.10191775901946165,0
289.28,3,35.58368458188268,1,12,0.31177511421999926,0
5410.85,0,18.928439831149724,0,11,0.20811302004784263,0
81.08,0,9.981862929743215,0,12,0.15911398345402558,0
147.66,0,94.58073755100258,0,19,0.31728080108289236,0
271.01,0,18.547359254118174,0,19,0.14361412348942681,0
102.54,0,54.99521124018195,0,17,0.19140878097925806,0
614.37,1,0.2467382205902915,0,10,0.3262336150871923,0
152.43,0,69.22963829540805,1,7,0.18008711443654282,0
690.06,0,21.755700613557757,0,11,0.13466646493140735,0
1105.26,1,45.85523590392842,0,4,0.4756856093870722,0
343.87,0,3.857149841746054,0,13,0.06577186092941548,0
291.09,1,29.443232689359395,0,15,0.3632038883020702,0
507.36,2,33.96537147156883,0,19,0.19352894948274108,0
1701.1,1,64.59987059074291,0,13,0.2840837569467677,0
347.88,0,11.551566522543926,0,17,0.23013106277351728,0
1459.43,1,26.793964967625918,0,19,0.4675633513404383,0
234.62,0,26.531758664019748,0,14,0.13294980806850573,0
928.18,0,22.76058528933199,0,6,0.2736164670511643,0
1546.81,0,62.53159159819799,0,14,0.235028864509642,0
452.97,0,42.65783273477545,0,13,0.4393851945612638,0
960.26,0,14.397452851811034,0,17,0.1427346118402267,0
286.6,0,30.9933902812446,0,7,0.17267492037047988,0
438.23,0,2.4369849872111224,0,11,0.17557526083129865,0
5952.93,0,21.865388878541573,0,15,0.5428388425187144,0
1032.21,1,6.327089602608977,0,12,0.47387174817658567,0
1277.08,3,5.636970351188976,0,13,0.19217010496829803,0
572.8,0,54.233545328938874,0,16,0.21965508132889072,0
462.73,0,33.69932560754379,0,11,0.25127369848067904,0
195.39,0,31.672163321594574,0,21,0.11763539608649341,0
1750.1,2,14.374484350043375,0,18,0.2228532295672342,0
85.87,0,26.224656027175982,0,10,0.3241480148465325,0
51.73,0,2.7054313999041533,0,14,0.06762466398510926,0
943.64,0,11.648349782670989,0,5,0.09183392665130709,0
559.82,0,80.98938806456918,0,16,0.5450455483874893,0
3423.03,0,0.5120519471494589,1,16,0.17421639805038897,0
538.7,0,4.108240790406676,0,11,0.059908366555220624,0
641.02,0,91.50093800308045,0,19,0.2694958450396008,0
549.48,0,11.856062503690232,0,17,0.24525302770100885,0
1167.62,1,42.38811385067499,0,15,0.1651382163396755,0
417.97,0,63.979324203532286,0,11,0.3364982328532909,0
642.96,1,53.197673348912616,0,6,0.5280210731124257,0
305.91,0,50.26635565762507,0,17,0.2618479064004146,0
675.32,0,47.462493750787104,0,15,0.4590324864336203,0
1096.48,0,63.733414042784545,0,11,0.33885832284716894,0
1001.46,0,61.34083754942063,0,8,0.09701515228468273,0
124.0,0,82.9355600496611,0,12,0.4642203694801305,0
1470.36,2,52.835883505334166,0,6,0.052083180835078804,0
1025.52,0,91.9455252307204,0,7,0.5191253581969407,0
847.5,2,30.10385943582517,0,3,0.4723141829733505,0
568.91,1,70.9615284296545,0,14,0.3540705261554046,0
340.92,1,20.130284992611468,0,13,0.13143473981891846,0
4062.49,5,241.56351111277291,1,7,0.8086727505763113,1
264.94,0,10.691194863950722,0,11,0.11807844478164572,0
289.21,0,23.884650592302975,0,14,0.17444733838349918,0
755.91,0,61.07374240313246,0,15,0.1630247632193502,0
2963.55,0,91.062042751554,0,17,0.09573390870268102,0
685.26,1,28.33782629344219,0,14,0.292557860430412,0
493.99,0,98.77382184166159,0,6,0.3091682308224602,0
8830.57,0,61.59772425859275,1,17,0.6229728079712757,0
181.41,0,79.22839750110356,0,19,0.0820425993692127,0
1317.15,1,37.51898522804806,0,8,0.34400440865260445,0
1249.97,0,18.90632875642541,0,12,0.242502630972651,0
955.19,0,13.018104887085833,0,5,0.30117958663224315,0
1904.45,0,9.835760915815701,0,11,0.615080369635637,0
237.53,0,92.0635151133289,0,14,0.1063994499568898,0
2158.53,2,12.201042930285666,0,13,0.11402702087085476,0
1148.93,1,19.268350189136655,0,18,0.11889552323832478,0
142.95,1,128.98558856443742,0,18,0.14151932749386614,0
405.16,0,18.13534805367981,0,11,0.06720163851691606,0
677.9,1,54.07589406341091,0,18,0.13759880552207088,0
226.22,0,37.691796121516376,0,11,0.10660536661103358,0
2841.04,0,38.41194851596583,0,11,0.19807426818792723,0
516.8,0,51.77852671254919,1,5,0.06634371684014508,0
2967.79,1,62.39019191726902,0,5,0.19717423591157443,0
805.59,0,27.285683625055363,0,7,0.0546325494381634,0
768.25,0,12.544051161680486,1,15,0.214520055244474,0
217.48,0,39.09817799950156,0,11,0.39443520860126213,0
94.62,1,5.587236092967981,0,11,0.33979401140377924,0
5191.67,0,3.246005351151588,0,14,0.0864161363721392,0
694.53,0,50.40860569537157,0,17,0.2948950648280115,0
2277.59,2,24.255197653098513,0,10,0.3528564851939945,0
209.9,0,12.61283965759226,1,10,0.2827758123164859,0
207.9,1,9.092996682004049,0,10,0.3682683708680347,0
107.0,1,20.01851030548187,1,23,0.2202299130094583,0
679.68,0,38.94618404729084,0,21,0.09914429730213914,0
1282.42,0,65.84067683318527,1,17,0.3460471197878136,0
164.07,1,28.668495986283695,0,23,0.23468617730067373,0
547.35,0,76.22120186489562,0,16,0.25353660502517444,0
667.24,1,41.025534958020785,0,8,0.3566563512856997,0
692.92,0,30.184166467753798,0,20,0.0957072731942488,0
654.31,1,1.5698127834064337,1,20,0.10693566067273305,0
638.03,0,46.32553007404221,0,15,0.22833234337825364,0
1048.56,0,85.98268420210456,0,14,0.34496842208055795,0
621.89,0,25.56432169025506,1,15,0.022914312706340687,0
4441.44,0,109.16904630270258,0,14,0.2011654661952049,0
3556.11,0,34.682691412576176,1,19,0.2674618487243899,0
263.65,1,18.414693025318165,0,14,0.09496068150903333,0
1087.29,0,65.95443520800805,0,13,0.5186340173064649,0
1858.86,0,40.76959590872332,0,14,0.2085731553869486,0
1125.45,1,12.887081485673761,0,15,0.1211382563017081,0
435.56,1,4.594479228219669,0,14,0.31740868895109325,0
1017.72,1,49.6789260707132,0,15,0.1438627607093036,0
434.49,0,13.867295722628565,0,5,0.20111777401024866,0
3516.96,2,43.060547833424806,1,15,0.29286627469189475,0
3411.98,0,55.26645057410668,0,18,0.07995228976848609,0
773.09,0,4.4131971534793895,0,10,0.48278977624728264,0
6967.95,1,67.63243316604543,0,16,0.26315432820210427,0
3550.56,0,10.049017493591883,0,12,0.004077825005640571,0
343.1,0,38.07570285543102,1,22,0.27903407477708697,0
2568.53,0,92.88730555747351,0,21,0.3966007265001341,0
681.26,0,69.12660531648018,0,13,0.07464295806962723,0
433.5,0,22.352543070716223,0,17,0.12313201657462713,0
235.05,0,99.49148375783824,1,20,0.19602426528161068,0
65.76,0,26.9442957261428,1,23,0.2927646821679761,0
994.65,0,24.58853735165403,0,12,0.46979687638025114,0
534.21,0,90.2452117942471,0,6,0.42748548705977973,1
279.51,0,58.01558233238882,0,20,0.08179547741889515,0
358.39,1,33.3268553969398,0,23,0.25792877359662414,0
1590.56,0,24.50374645056786,0,21,0.6545657379343307,0
376.58,0,51.61177927302539,1,9,0.2934295935755678,0
3271.0,0,1.0114445963175065,0,14,0.41002807382619905,0
582.0,0,22.516644450568528,0,12,0.3584171098115508,0
349.25,0,27.818642782161398,1,6,0.2329219015326097,0
362.17,0,15.64969182008884,0,13,0.4070792561978856,0
3820.5,2,108.26697859528734,0,15,0.22295259574893295,0
784.65,2,46.67403412158704,0,14,0.27161820685553983,0
2827.02,1,62.8585952156623,0,11,0.15760043745748684,0
